Time (s),X (hPa)
1654618486426612224,1010.882568
1654618487428684288,1010.897369
1654618488430611968,1010.912094
1654618489432291072,1010.926743
1654618490433965312,1010.932083
1654618491435694336,1010.938034
1654618491985517056,1010.940247
1654618492988177920,1010.940247
1654618493989340928,1010.939178
1654618494991261184,1010.938187
1654618495992958976,1010.935593
1654618496994723072,1010.935135
1654618497996482048,1010.935135
1654618498998463232,1010.935135
1654618500000262144,1010.9375
1654618501002139136,1010.939636
1654618502003832064,1010.941772
1654618503005670144,1010.942612
1654618504007804160,1010.942612
1654618505009708288,1010.939636
1654618506011568896,1010.935745
1654618507013276160,1010.932846
1654618508015102208,1010.930557
1654618509016904960,1010.929642
1654618510018996224,1010.929108
1654618511020657920,1010.927887
1654618512022492160,1010.927429
1654618513024400128,1010.926514
1654618514026362112,1010.923843
1654618515028173312,1010.923004
1654618516030093312,1010.921936
1654618517031973120,1010.921707
1654618518034311936,1010.920715
1654618519036081920,1010.919647
1654618520038019072,1010.917664
1654618521039779072,1010.916748
1654618522041708288,1010.915298
1654618523043526144,1010.912704
1654618524045569280,1010.911713
1654618525047213056,1010.911407
1654618526049075200,1010.910263
1654618527051095040,1010.908508
1654618528053216256,1010.908432
1654618529054439936,1010.907288
1654618530056551168,1010.906143
1654618531058504960,1010.904465
1654618532060392192,1010.902481
1654618533062213120,1010.901642
1654618534063996928,1010.899887
1654618535065753344,1010.898361
1654618536067521024,1010.895996
1654618537069038080,1010.89592
1654618538070890240,1010.895462
1654618539072759040,1010.894775
1654618540074521088,1010.894775
1654618541076962304,1010.895767
1654618542078287104,1010.897369
1654618543080047104,1010.898056
1654618544081824000,1010.899506
1654618545083696128,1010.903168
1654618546085891072,1010.906754
1654618547088075264,1010.908737
1654618548089889024,1010.912476
1654618549091824896,1010.91362
1654618550094009088,1010.914993
1654618551095376128,1010.914993
1654618552097144064,1010.914307
1654618553099038976,1010.914078
1654618554101195008,1010.913162
1654618555103131136,1010.91217
1654618556105075968,1010.91217
1654618557106707200,1010.912476
1654618558108307968,1010.913162
1654618559110328320,1010.913162
1654618560112022272,1010.913467
1654618561114042112,1010.914383
1654618562115883008,1010.914612
1654618563117804032,1010.915222
1654618564119599104,1010.915451
1654618565121606144,1010.916595
1654618566123377920,1010.917816
1654618567125060096,1010.919266
1654618568127161088,1010.919876
1654618569129063168,1010.922089
1654618570131398144,1010.922699
1654618571132989184,1010.92308
1654618572134935040,1010.924149
1654618573136909056,1010.926056
1654618574138923264,1010.926056
1654618575140744192,1010.925064
1654618576142489088,1010.924149
1654618577144281088,1010.922165
1654618578146206976,1010.91774
1654618579148172032,1010.915527
1654618580149967104,1010.914383
1654618581152463104,1010.914307
1654618582153936128,1010.914307
1654618583155764992,1010.917587
1654618584157815296,1010.920563
1654618585159820032,1010.922623
1654618586161765120,1010.924454
1654618587163582208,1010.926056
1654618588165634048,1010.926285
1654618589167673088,1010.927658
1654618590170156032,1010.92865
1654618591171127040,1010.92865
1654618592173094144,1010.927887
1654618593174541056,1010.927353
1654618594176599040,1010.926819
1654618595178558976,1010.926819
1654618596180340992,1010.928268
1654618597182354176,1010.929413
1654618598184109312,1010.930023
1654618599186041088,1010.930023
1654618600187931136,1010.928726
1654618601189566976,1010.927811
1654618602191698944,1010.924988
1654618603194016256,1010.923233
1654618604195412992,1010.922165
1654618605197269248,1010.921478
1654618606199217920,1010.921326
1654618607201228032,1010.921326
1654618608203306240,1010.922165
1654618609204792064,1010.923004
1654618610206691072,1010.924301
1654618611208955904,1010.924301
1654618612211493120,1010.923157
1654618613212554240,1010.922775
1654618614214459136,1010.922318
1654618615216360192,1010.922546
1654618616218310144,1010.922546
1654618617220060160,1010.925064
1654618618222009088,1010.928268
1654618619223800064,1010.932083
1654618620225467136,1010.93605
1654618621227431936,1010.941544
1654618622229391104,1010.94635
1654618623231350272,1010.951614
1654618624233102080,1010.954361
1654618625235454976,1010.956116
1654618626236570112,1010.956421
1654618627238740224,1010.956116
1654618628240691200,1010.954666
1654618629242348288,1010.954056
1654618630244136960,1010.953674
1654618631246021888,1010.953598
1654618632248126976,1010.952301
1654618633249899264,1010.950775
1654618634251965952,1010.950012
1654618635253706240,1010.948944
1654618636255716096,1010.947952
1654618637257425152,1010.946579
1654618638259970304,1010.943527
1654618639260953088,1010.942459
1654618640263291136,1010.940552
1654618641265050112,1010.939789
1654618642267089152,1010.939636
1654618643269107968,1010.938797
1654618644270929152,1010.93689
1654618645272804096,1010.93689
1654618646274672128,1010.938416
1654618647276435200,1010.941315
1654618648278366976,1010.945435
1654618649280096000,1010.951843
1654618650281942016,1010.956345
1654618651284618240,1010.959396
1654618652285972992,1010.960617
1654618653287710208,1010.960617
1654618654289519104,1010.958786
1654618655291231232,1010.956192
1654618656293151232,1010.953751
1654618657294759936,1010.950775
1654618658296611072,1010.948105
1654618659298400256,1010.948105
1654618660300202240,1010.950928
1654618661302271232,1010.952377
1654618662303981056,1010.957108
1654618663305982208,1010.961838
1654618664308546048,1010.965881
1654618665310247168,1010.969696
1654618666312210176,1010.972595
1654618667313881088,1010.974884
1654618668315844096,1010.977936
1654618669317718016,1010.982208
1654618670319606016,1010.985031
1654618671321625088,1010.98732
1654618672323330048,1010.99205
1654618673325072896,1010.993652
1654618674326996992,1010.995026
1654618675328920064,1010.995407
1654618676330720256,1010.997772
1654618677332835072,1010.998001
1654618678334362880,1010.999756
1654618679336486144,1011.001053
1654618680338160128,1011.002884
1654618681340013056,1011.002884
1654618682341688064,1011.001968
1654618683343510272,1010.998993
1654618684345255168,1010.992355
1654618685347022080,1010.98671
1654618686349024000,1010.981216
1654618687351219200,1010.976562
1654618688352862976,1010.974579
1654618689354833152,1010.974579
1654618690356784128,1010.974579
1654618691358796032,1010.976868
1654618692360631040,1010.977325
1654618693362828032,1010.978546
1654618694364642048,1010.979996
1654618695367030016,1010.983124
1654618696368113152,1010.98587
1654618697369984256,1010.988388
1654618698371834880,1010.989609
1654618699374093056,1010.989609
1654618700375594240,1010.985565
1654618701377416192,1010.983124
1654618702379076096,1010.981598
1654618703381219072,1010.979843
1654618704382316032,1010.979843
1654618705384288000,1010.980225
1654618706385960960,1010.980225
1654618707387656192,1010.979614
1654618708389180160,1010.977325
1654618709391019008,1010.973053
1654618710392791040,1010.963974
1654618711394746112,1010.95253
1654618712397268992,1010.939865
1654618713398614272,1010.931702
1654618714400624128,1010.923691
1654618715402379008,1010.918808
1654618716404146176,1010.918808
1654618717405925120,1010.920181
1654618718407714048,1010.921326
1654618719409715200,1010.926056
1654618720411411968,1010.930862
1654618721413118208,1010.933838
1654618722414864128,1010.937347
1654618723416811008,1010.937347
1654618724418604032,1010.936737
1654618725420734208,1010.936737
1654618726423220224,1010.938416
1654618727425310976,1010.939713
1654618728426988032,1010.944061
1654618729428715008,1010.950089
1654618730430566912,1010.952759
1654618731432458240,1010.953598
1654618732434113024,1010.956116
1654618733435958272,1010.956116
1654618734438668032,1010.956116
1654618735439835136,1010.956039
1654618736441709056,1010.954666
1654618737443730944,1010.949097
1654618738445705216,1010.94223
1654618739447856128,1010.930939
1654618740449675008,1010.919266
1654618741451393024,1010.907822
1654618742453304064,1010.895615
1654618743455235072,1010.884857
1654618744457240064,1010.878754
1654618745459083008,1010.871048
1654618746461157120,1010.867081
1654618747462980864,1010.866241
1654618748464814080,1010.866165
1654618749466592000,1010.866165
1654618750468290048,1010.86937
1654618751470329088,1010.870209
1654618752472099072,1010.870209
1654618753473863168,1010.870132
1654618754475655936,1010.868912
1654618755477415936,1010.866776
1654618756479175168,1010.865555
1654618757481211136,1010.86525
1654618758483286016,1010.862732
1654618759485032960,1010.86174
1654618760486728192,1010.861588
1654618761488560128,1010.861588
1654618762490496256,1010.862045
1654618763492287232,1010.865021
1654618764494075904,1010.868073
1654618765495851008,1010.872116
1654618766497625088,1010.876236
1654618767499258880,1010.880432
1654618768501072128,1010.884018
1654618769503446016,1010.886917
1654618770504676096,1010.890427
1654618771506283008,1010.892792
1654618772507913984,1010.895996
1654618773509899264,1010.897903
1654618774512020992,1010.899963
1654618775514021120,1010.902634
1654618776515873280,1010.906677
1654618777517957120,1010.908127
1654618778519707136,1010.909882
1654618779521548032,1010.912933
1654618780523393280,1010.914536
1654618781525435136,1010.915222
1654618782527077120,1010.919876
1654618783529100288,1010.923843
1654618784530932224,1010.927963
1654618785532648960,1010.931244
1654618786535677184,1010.932999
1654618787537327104,1010.932999
1654618788539142144,1010.930176
1654618789540833024,1010.927887
1654618790543060992,1010.925522
1654618791544857088,1010.92186
1654618792546748160,1010.91713
1654618793548474112,1010.914307
1654618794550263040,1010.91011
1654618795552116224,1010.903244
1654618796553840128,1010.898514
